config,model,num_speakers,instances_per_speaker,avg_inter_cluster_dist,avg_intra_cluster_spread,separation_score,overlap_score,silhouette_score
20s_10i,high,20,10,0.34095386,0.18188581,1.8745386712304248,0.765,-0.31323063373565674
20s_10i,low,20,10,0.5822618,0.25436202,2.289097714852336,0.735,-0.24710875749588013
20s_10i,mid,20,10,0.31493527,0.29354706,1.0728575845788961,0.745,-0.16090497374534607
80s_40i,mfcc,80,40,0.57611144,0.29607168,1.9458446453197642,0.86125,-0.278099924325943
80s_40i,high,80,40,0.24285634,0.19100954,1.2714290175595546,0.9234375,-0.4480087161064148
80s_40i,low,80,40,0.544683,0.3220765,1.6911550185696478,0.895,-0.3500170409679413
80s_40i,mid,80,40,0.29422417,0.3107795,0.9467265852828551,0.9190625,-0.26990947127342224
5s_40i,mfcc,5,40,0.54503673,0.31274265,1.7427587491021035,0.355,0.09681408107280731
5s_40i,high,5,40,0.44104624,0.24941754,1.7682977051884052,0.53,-0.0643647089600563
5s_40i,low,5,40,0.40954113,0.36360735,1.1263248861910498,0.48,-0.025589723140001297
5s_40i,mid,5,40,0.27576157,0.3363676,0.8198195927692127,0.545,-0.03801793232560158
40s_5i,mfcc,40,5,0.6324346,0.257556,2.455513255869629,0.715,-0.2802671492099762
40s_5i,high,40,5,0.323176,0.17191759,1.8798199846007884,0.8,-0.4163810610771179
40s_5i,low,40,5,0.6177395,0.22604828,2.732764775961116,0.77,-0.3596359193325043
40s_5i,mid,40,5,0.3447283,0.2939918,1.1725739072530499,0.83,-0.3151096701622009
60s_10i,mfcc,60,10,0.6171687,0.2721168,2.268020326739243,0.79,-0.288554847240448
60s_10i,high,60,10,0.27694148,0.18911287,1.4644165205415494,0.895,-0.46401169896125793
60s_10i,low,60,10,0.58375007,0.2833417,2.060226210853233,0.8633333333333333,-0.35268375277519226
60s_10i,mid,60,10,0.31898075,0.29979652,1.0639872926622749,0.865,-0.29503321647644043
80s_5i,mfcc,80,5,0.62474537,0.24717149,2.527568361099107,0.7975,-0.339478999376297
80s_5i,high,80,5,0.2822846,0.16093528,1.754014588091606,0.88,-0.49603271484375
80s_5i,low,80,5,0.60996556,0.26289108,2.3202127414497187,0.87,-0.42649292945861816
80s_5i,mid,80,5,0.35739854,0.28355584,1.2604123584948772,0.8875,-0.3979662358760834
5s_5i,mfcc,5,5,0.54248005,0.34299007,1.5816156688798868,0.44,-0.05173429474234581
5s_5i,high,5,5,0.5210381,0.20624256,2.526324272323719,0.4,0.04244492948055267
5s_5i,low,5,5,0.3820901,0.36476415,1.0474961425454041,0.52,-0.11407580226659775
5s_5i,mid,5,5,0.42433634,0.282816,1.5003919663889058,0.28,-0.00373015645891428
40s_10i,mfcc,40,10,0.6118518,0.26588777,2.3011570520125653,0.7575,-0.24637378752231598
40s_10i,high,40,10,0.30478385,0.18603842,1.6382756490884711,0.8325,-0.4109291136264801
40s_10i,low,40,10,0.5950094,0.25568533,2.3271067633886604,0.815,-0.326727956533432
40s_10i,mid,40,10,0.3215267,0.30456015,1.0557049094468602,0.8325,-0.25390538573265076
80s_1i,mfcc,80,1,0.7348615,0.0,734861.4931106567,0.0,
80s_1i,high,80,1,0.32428026,0.0,324280.2619934082,0.0,
80s_1i,low,80,1,0.7442275,0.0,744227.5285720825,0.0,
80s_1i,mid,80,1,0.5309721,0.0,530972.1231460571,0.0,
5s_1i,mfcc,5,1,0.5495986,0.0,549598.5746383667,0.0,
5s_1i,high,5,1,0.4617056,0.0,461705.5952548981,0.0,
5s_1i,low,5,1,0.75231695,0.0,752316.951751709,0.0,
5s_1i,mid,5,1,0.5480205,0.0,548020.4820632935,0.0,
20s_60i,mfcc,20,60,0.49959093,0.3088192,1.6177404390375767,0.7333333333333333,-0.19977158308029175
20s_60i,high,20,60,0.3021395,0.2057101,1.4687563945934305,0.8033333333333333,-0.32198745012283325
20s_60i,low,20,60,0.5387857,0.30147898,1.7871358904358907,0.7458333333333333,-0.252212256193161
20s_60i,mid,20,60,0.26862726,0.31608367,0.8498585408835616,0.805,-0.14040018618106842
2s_40i,mfcc,2,40,0.52994174,0.2255022,2.350040949143958,0.075,0.42981210350990295
2s_40i,high,2,40,0.11117137,0.16001445,0.6947539868972121,0.4375,0.04241607338190079
2s_40i,low,2,40,0.18639114,0.4006586,0.46521072129506197,0.2875,0.04863949492573738
2s_40i,mid,2,40,0.46940443,0.33526957,1.4000764478265386,0.15,0.2662549316883087
20s_80i,mfcc,20,80,0.49542847,0.3066892,1.6154036492122854,0.736875,-0.19592523574829102
20s_80i,high,20,80,0.29390216,0.20345628,1.4445398806017415,0.8075,-0.3160400986671448
20s_80i,low,20,80,0.5327252,0.30533457,1.7447204674067749,0.749375,-0.2491382211446762
20s_80i,mid,20,80,0.26300478,0.31956857,0.8229969335659334,0.818125,-0.1448521465063095
10s_10i,mfcc,10,10,0.6340262,0.2805374,2.260033695596956,0.56,-0.08242014050483704
10s_10i,high,10,10,0.35506004,0.19517471,1.8191815100264486,0.69,-0.2274395376443863
10s_10i,low,10,10,0.5302809,0.2956169,1.7938051015200738,0.63,-0.11615397781133652
10s_10i,mid,10,10,0.2938673,0.3055672,0.9617076818117258,0.65,-0.1390809267759323
20s_20i,mfcc,20,20,0.5196177,0.29561812,1.7577269097542925,0.705,-0.1925586313009262
20s_20i,high,20,20,0.313857,0.1903656,1.6486977920115575,0.765,-0.3075081408023834
20s_20i,low,20,20,0.5572193,0.28188267,1.9767704868236482,0.7475,-0.2553822994232178
20s_20i,mid,20,20,0.2708529,0.30881247,0.8770760363982625,0.765,-0.14956851303577423
40s_1i,mfcc,40,1,0.76464736,0.0,764647.364616394,0.0,
40s_1i,high,40,1,0.3917794,0.0,391779.3929576874,0.0,
40s_1i,low,40,1,0.74223185,0.0,742231.8458557129,0.0,
40s_1i,mid,40,1,0.53469217,0.0,534692.1682357788,0.0,
2s_1i,mfcc,2,1,0.13018012,0.0,130180.12046813965,0.0,
2s_1i,high,2,1,0.083917856,0.0,83917.85621643066,0.0,
2s_1i,low,2,1,0.9509348,0.0,950934.8273277283,0.0,
2s_1i,mid,2,1,0.78882533,0.0,788825.3331184387,0.0,
60s_80i,mfcc,60,80,0.5886625,0.3047586,1.9315633996049733,0.851875,-0.24942073225975037
60s_80i,high,60,80,0.24991924,0.20400399,1.2250643284663434,0.9145833333333333,-0.4069182574748993
60s_80i,low,60,80,0.5371851,0.32890216,1.6332621456187202,0.8733333333333333,-0.33823123574256897
60s_80i,mid,60,80,0.2776649,0.31776863,0.8737930584656084,0.91375,-0.23548687994480133
60s_20i,mfcc,60,20,0.60437137,0.28739628,2.10291261200636,0.8116666666666666,-0.27246224880218506
60s_20i,high,60,20,0.2633877,0.19335556,1.3621865709839511,0.91,-0.4344327747821808
60s_20i,low,60,20,0.5634437,0.30411145,1.8527479511400318,0.8683333333333333,-0.3352070748806
60s_20i,mid,60,20,0.29928806,0.3052067,0.9806046102918372,0.8933333333333333,-0.27607762813568115
40s_60i,mfcc,40,60,0.5901675,0.29049557,2.031581692480718,0.7845833333333333,-0.20709635317325592
40s_60i,high,40,60,0.27474937,0.20731297,1.3252814879545962,0.8808333333333334,-0.3846624493598938
40s_60i,low,40,60,0.56968606,0.29731816,1.9160758228982222,0.8233333333333334,-0.3046668469905853
40s_60i,mid,40,60,0.28908825,0.31515855,0.9172758778920831,0.8783333333333333,-0.2165273278951645
60s_60i,mfcc,60,60,0.5910036,0.3041574,1.9430782938957256,0.8477777777777777,-0.2526557445526123
60s_60i,high,60,60,0.25330892,0.20357381,1.244303872610348,0.9102777777777777,-0.4118413031101227
60s_60i,low,60,60,0.5422196,0.32513675,1.66766109951256,0.8697222222222222,-0.34081414341926575
60s_60i,mid,60,60,0.2826173,0.31465542,0.8981774403543441,0.9144444444444444,-0.23995958268642426
40s_20i,mfcc,40,20,0.6084543,0.2743164,2.2180666862909373,0.74875,-0.22498343884944916
40s_20i,high,40,20,0.28599998,0.1963683,1.4564393392234134,0.87625,-0.3990975320339203
40s_20i,low,40,20,0.5844849,0.27474147,2.12739178428079,0.815,-0.3037978708744049
40s_20i,mid,40,20,0.29681057,0.30950922,0.9589685586056733,0.86125,-0.24595218896865845
20s_5i,mfcc,20,5,0.5749969,0.258742,2.2222702772321417,0.61,-0.19583509862422943
20s_5i,high,20,5,0.36407334,0.16080138,2.2641041391829937,0.72,-0.3181173503398895
20s_5i,low,20,5,0.59720725,0.23326504,2.5601979709934177,0.73,-0.2640286684036255
20s_5i,mid,20,5,0.37065136,0.26456565,1.4009754026895547,0.69,-0.18225471675395966
40s_80i,mfcc,40,80,0.5851269,0.28997973,2.0178129931209514,0.79,-0.20147393643856049
40s_80i,high,40,80,0.26471457,0.20552519,1.2879846082849646,0.8865625,-0.3743914067745209
40s_80i,low,40,80,0.56177926,0.30222613,1.8587982743639255,0.825,-0.3050489127635956
40s_80i,mid,40,80,0.28091115,0.31903064,0.8805118683051067,0.8840625,-0.2149021029472351
10s_5i,mfcc,10,5,0.675839,0.28731617,2.352240205842894,0.52,-0.12289991974830627
10s_5i,high,10,5,0.3827299,0.17291062,2.213442319578002,0.56,-0.20059238374233246
10s_5i,low,10,5,0.53410435,0.30973583,1.7243811118599175,0.64,-0.15429197251796722
10s_5i,mid,10,5,0.3669272,0.27324134,1.3428636463157813,0.54,-0.12578822672367096
80s_80i,mfcc,80,80,0.5649984,0.3044911,1.8555436521632325,0.876875,-0.27192437648773193
80s_80i,high,80,80,0.23887295,0.19761674,1.208762654739061,0.9284375,-0.43573036789894104
80s_80i,low,80,80,0.53039247,0.33471227,1.5846174035856824,0.89734375,-0.3486035168170929
80s_80i,mid,80,80,0.28743175,0.3161108,0.9092724663166869,0.92390625,-0.26192551851272583
80s_20i,mfcc,80,20,0.5845589,0.28473073,2.0530163573960754,0.846875,-0.29372066259384155
80s_20i,high,80,20,0.25199008,0.18720286,1.3460731276512174,0.924375,-0.4630052149295807
80s_20i,low,80,20,0.5591695,0.30958953,1.8061581607060633,0.888125,-0.36275649070739746
80s_20i,mid,80,20,0.30355623,0.30512482,0.9948559396319137,0.908125,-0.2932320535182953
10s_40i,mfcc,10,40,0.5955836,0.3011611,1.9776180240399328,0.5325,-0.08067747205495834
10s_40i,high,10,40,0.32095367,0.21547715,1.48949516094316,0.6875,-0.26185229420661926
10s_40i,low,10,40,0.532237,0.31250036,1.703150979416325,0.61,-0.10369619727134705
10s_40i,mid,10,40,0.24992095,0.3279079,0.762165823798867,0.76,-0.10765054821968079
80s_60i,mfcc,80,60,0.5694562,0.30210978,1.884925203860171,0.874375,-0.2746449410915375
80s_60i,high,80,60,0.24145064,0.19491509,1.2387414630345732,0.924375,-0.4368951916694641
80s_60i,low,80,60,0.53705686,0.32942516,1.6302799681700102,0.8970833333333333,-0.3519171476364136
80s_60i,mid,80,60,0.29079723,0.31392035,0.9263378697134276,0.9252083333333333,-0.2664135694503784
2s_10i,mfcc,2,10,0.45957905,0.22943082,2.0031181441633867,0.15,0.305101215839386
2s_10i,high,2,10,0.065874,0.08892605,0.7407645371341481,0.5,0.017155103385448456
2s_10i,low,2,10,0.30917484,0.37305158,0.8287701228604029,0.3,0.13118429481983185
2s_10i,mid,2,10,0.52154696,0.32403338,1.6095420510430565,0.15,0.28105172514915466
60s_1i,mfcc,60,1,0.7582616,0.0,758261.6209983826,0.0,
60s_1i,high,60,1,0.33536738,0.0,335367.3815727234,0.0,
60s_1i,low,60,1,0.74615705,0.0,746157.0501327515,0.0,
60s_1i,mid,60,1,0.52459055,0.0,524590.5518531799,0.0,
5s_60i,mfcc,5,60,0.5311624,0.31816483,1.669451395160164,0.36333333333333334,0.07753192633390427
5s_60i,high,5,60,0.43564025,0.28282654,1.5403034700211249,0.5433333333333333,-0.09171167016029358
5s_60i,low,5,60,0.411244,0.3636485,1.130880148109831,0.49,-0.016017455607652664
5s_60i,mid,5,60,0.25650784,0.3431278,0.7475555924377114,0.5866666666666667,-0.06204137206077576
5s_20i,mfcc,5,20,0.5266448,0.2995785,1.7579468797225763,0.4,0.09016340970993042
5s_20i,high,5,20,0.4599604,0.24842079,1.8515300181938399,0.52,-0.07741866260766983
5s_20i,low,5,20,0.41263065,0.35556048,1.1605043539138815,0.5,-0.025677060708403587
5s_20i,mid,5,20,0.24575166,0.34696436,0.7082887598635181,0.53,-0.04315643757581711
5s_80i,mfcc,5,80,0.53099084,0.3171153,1.6744356172404875,0.375,0.08157786726951599
5s_80i,high,5,80,0.43101525,0.2779289,1.5508056903539855,0.53,-0.08868047595024109
5s_80i,low,5,80,0.40585962,0.36936134,1.0988115850702806,0.5025,-0.007191887125372887
5s_80i,mid,5,80,0.23847397,0.3539556,0.6737378790249573,0.6075,-0.06131047382950783
2s_60i,mfcc,2,60,0.5069573,0.22117175,2.292132682924134,0.075,0.4179166257381439
2s_60i,high,2,60,0.21019213,0.22254834,0.9444743039523749,0.39166666666666666,0.095218226313591
2s_60i,low,2,60,0.15043026,0.40549618,0.37097733224047313,0.375,0.03219223767518997
2s_60i,mid,2,60,0.40142426,0.34221426,1.1730168404049528,0.20833333333333334,0.20361250638961792
20s_40i,mfcc,20,40,0.511057,0.3022233,1.690985892708357,0.715,-0.19627827405929565
20s_40i,high,20,40,0.30283758,0.19562124,1.5480733930909538,0.80125,-0.33082208037376404
20s_40i,low,20,40,0.5487386,0.29152185,1.882317643380407,0.735,-0.25486937165260315
20s_40i,mid,20,40,0.27356428,0.3112943,0.8787935125082387,0.8025,-0.1498997062444687
80s_10i,mfcc,80,10,0.5981779,0.26732117,2.237666674808689,0.83375,-0.3195611238479614
80s_10i,high,80,10,0.26574558,0.187402,1.4180433995053692,0.91,-0.49087950587272644
80s_10i,low,80,10,0.5760127,0.2907312,1.9812483363269913,0.88,-0.37790200114250183
80s_10i,mid,80,10,0.3217528,0.30048737,1.0707661910077562,0.8875,-0.32484984397888184
2s_80i,mfcc,2,80,0.49382654,0.21942922,2.250494611364635,0.0875,0.40955036878585815
2s_80i,high,2,80,0.22705653,0.22632496,1.00322796601375,0.35625,0.11397238075733185
2s_80i,low,2,80,0.12555711,0.40200067,0.31232982456915254,0.4,0.02702237293124199
2s_80i,mid,2,80,0.37081617,0.35248655,1.0519979225346152,0.21875,0.1774931252002716
2s_20i,mfcc,2,20,0.47450766,0.21483687,2.20867796376663,0.125,0.37356847524642944
2s_20i,high,2,20,0.04979753,0.11582903,0.4299190114674201,0.475,0.019862549379467964
2s_20i,low,2,20,0.22844754,0.39713526,0.5752371815796956,0.375,0.050192393362522125
2s_20i,mid,2,20,0.37308687,0.36949852,1.009708669219685,0.225,0.15647517144680023
40s_40i,mfcc,40,40,0.599157,0.2862141,2.093379937114708,0.773125,-0.2070242464542389
40s_40i,high,40,40,0.27508056,0.20102644,1.3683732036476783,0.875625,-0.39047345519065857
40s_40i,low,40,40,0.57653147,0.28972253,1.9899366329498935,0.821875,-0.2983735203742981
40s_40i,mid,40,40,0.28958157,0.31254715,0.9265182647048119,0.865,-0.22218221426010132
60s_5i,mfcc,60,5,0.64172286,0.25780258,2.489193006320565,0.7566666666666667,-0.31003689765930176
60s_5i,high,60,5,0.29468608,0.16482207,1.7878933806031916,0.8633333333333333,-0.47302359342575073
60s_5i,low,60,5,0.6136044,0.2560441,2.3964701954537158,0.8366666666666667,-0.40874263644218445
60s_5i,mid,60,5,0.3510092,0.28563163,1.2288833875891805,0.87,-0.36012399196624756
10s_1i,mfcc,10,1,0.80178446,0.0,801784.4557762146,0.0,
10s_1i,high,10,1,0.45858356,0.0,458583.5635662079,0.0,
10s_1i,low,10,1,0.77099454,0.0,770994.5440292358,0.0,
10s_1i,mid,10,1,0.49257994,0.0,492579.9369812012,0.0,
5s_10i,mfcc,5,10,0.5269575,0.31559864,1.6697025292403522,0.38,0.021335160359740257
5s_10i,high,5,10,0.49376664,0.22965291,2.1500467054678976,0.56,-0.062002815306186676
5s_10i,low,5,10,0.42686015,0.34607938,1.2334133316474687,0.48,-0.05178501456975937
5s_10i,mid,5,10,0.32457766,0.31263703,1.0381899420521385,0.44,-0.02973373420536518
60s_40i,mfcc,60,40,0.5975717,0.2987734,2.0000764963004336,0.8308333333333333,-0.25815609097480774
60s_40i,high,60,40,0.25513995,0.20001143,1.2756204410313776,0.9104166666666667,-0.4214865565299988
60s_40i,low,60,40,0.5497765,0.31765398,1.7307346727945985,0.8670833333333333,-0.3345440924167633
60s_40i,mid,60,40,0.28596145,0.31131554,0.9185552825497524,0.9045833333333333,-0.2460172474384308
10s_60i,mfcc,10,60,0.6494822,0.3086183,2.104476860774656,0.4816666666666667,0.002421274082735181
10s_60i,high,10,60,0.40286726,0.17559013,2.2943485975463975,0.595,-0.14509381353855133
10s_60i,low,10,60,0.59789264,0.32946587,1.8147276814777165,0.5133333333333333,-0.029047925025224686
10s_60i,mid,10,60,0.2977307,0.31520134,0.9445701199222706,0.6616666666666666,-0.08506590873003006
20s_1i,mfcc,20,1,0.75466615,0.0,754666.1496162415,0.0,
20s_1i,high,20,1,0.37468085,0.0,374680.8469295502,0.0,
20s_1i,low,20,1,0.7615785,0.0,761578.5002708435,0.0,
20s_1i,mid,20,1,0.52599597,0.0,525995.9697723389,0.0,
10s_80i,mfcc,10,80,0.65345067,0.30782616,2.1227843083077977,0.47125,0.009741639718413353
10s_80i,high,10,80,0.39308348,0.18346676,2.142520724315295,0.60125,-0.16320312023162842
10s_80i,low,10,80,0.601611,0.32756588,1.8366051558618375,0.5,-0.026100164279341698
10s_80i,mid,10,80,0.30452573,0.31755024,0.9589813950239209,0.665,-0.08737710118293762
10s_20i,mfcc,10,20,0.64345545,0.3044631,2.1134034194650155,0.44,0.025796206668019295
10s_20i,high,10,20,0.42516515,0.15295625,2.7796338781698964,0.545,-0.1041630282998085
10s_20i,low,10,20,0.60766846,0.3196035,1.9013138243862915,0.505,-0.0298005398362875
10s_20i,mid,10,20,0.30962732,0.30725622,1.0077137408124195,0.635,-0.09312622249126434
2s_5i,mfcc,2,5,1.1089625,0.18451448,6.010132855985363,0.0,0.7402039766311646
2s_5i,high,2,5,0.15367764,0.08937603,1.7194310249575,0.2,0.25038716197013855
2s_5i,low,2,5,0.8364654,0.14739777,5.674846607967345,0.1,0.7027592658996582
2s_5i,mid,2,5,0.3965771,0.29814696,1.3301351646866288,0.2,0.16346099972724915
20s_10i,mfcc,20,10,0.57961905,0.28101653,2.0625725836402826,0.615,-0.1849934458732605
20s_10i,high,20,10,0.3738303,0.20741232,1.8023446774938767,0.72,-0.3154550790786743
20s_10i,low,20,10,0.59454995,0.29532853,2.0131747698579874,0.7,-0.20407360792160034
20s_10i,mid,20,10,0.34769246,0.30105022,1.154927937140168,0.79,-0.22705137729644775
80s_40i,mfcc,80,40,0.52781576,0.311741,1.6931172847193179,0.875625,-0.305260568857193
80s_40i,high,80,40,0.30884275,0.24666896,1.252048456218869,0.9215625,-0.4679344892501831
80s_40i,low,80,40,0.5131984,0.3567396,1.4385757065285303,0.9009375,-0.37049415707588196
80s_40i,mid,80,40,0.304727,0.31801203,0.9582217090287054,0.9253125,-0.2916726768016815
5s_40i,mfcc,5,40,0.7337722,0.30420297,2.412105959559232,0.35,0.13386012613773346
5s_40i,high,5,40,0.40420046,0.14312659,2.8240569042336614,0.48,-0.03562089055776596
5s_40i,low,5,40,0.58271,0.3367529,1.7303735527123811,0.415,0.09225999563932419
5s_40i,mid,5,40,0.2448492,0.32513875,0.7530583595363751,0.575,-0.04946376755833626
40s_5i,mfcc,40,5,0.6178907,0.26767793,2.3083277743437147,0.695,-0.2679310739040375
40s_5i,high,40,5,0.41603637,0.19363613,2.148536069755287,0.825,-0.3871111571788788
40s_5i,low,40,5,0.5792065,0.3045444,1.9018725836232777,0.755,-0.3628406524658203
40s_5i,mid,40,5,0.35810024,0.30253425,1.1836644907172913,0.865,-0.33507004380226135
60s_10i,mfcc,60,10,0.5595278,0.28551942,1.959677042473608,0.7983333333333333,-0.30171680450439453
60s_10i,high,60,10,0.35015365,0.2183293,1.6037795120745548,0.8883333333333333,-0.4622444212436676
60s_10i,low,60,10,0.53702897,0.33566114,1.599909252295412,0.8533333333333334,-0.3919508755207062
60s_10i,mid,60,10,0.33198076,0.30195814,1.0994227920566282,0.8883333333333333,-0.32329604029655457
80s_5i,mfcc,80,5,0.5766552,0.27534628,2.0942833023685177,0.81,-0.36729443073272705
80s_5i,high,80,5,0.3635357,0.2129314,1.707282271214211,0.8875,-0.5108480453491211
80s_5i,low,80,5,0.5578679,0.323672,1.7235539896971774,0.86,-0.46027955412864685
80s_5i,mid,80,5,0.36249655,0.2867282,1.2642470689547403,0.89,-0.38172516226768494
5s_5i,mfcc,5,5,0.75451297,0.2976648,2.5347654571538025,0.36,0.028736472129821777
5s_5i,high,5,5,0.43221554,0.07092813,6.093625601788822,0.36,0.11185561865568161
5s_5i,low,5,5,0.68099296,0.2835456,2.4016966841218097,0.28,0.20878511667251587
5s_5i,mid,5,5,0.29304188,0.30751482,0.9529327246086701,0.52,-0.14108921587467194
40s_10i,mfcc,40,10,0.586634,0.28006563,2.0946229432960526,0.7325,-0.25196266174316406
40s_10i,high,40,10,0.39170805,0.22827268,1.71595802134891,0.8375,-0.39931246638298035
40s_10i,low,40,10,0.55746645,0.3180209,1.7529183675117417,0.7875,-0.32872283458709717
40s_10i,mid,40,10,0.34121004,0.3045069,1.1205293517622084,0.845,-0.30933260917663574
80s_1i,mfcc,80,1,0.7156794,0.0,715679.407119751,0.0,
80s_1i,high,80,1,0.37091467,0.0,370914.66784477234,0.0,
80s_1i,low,80,1,0.7499873,0.0,749987.3042106628,0.0,
80s_1i,mid,80,1,0.5305784,0.0,530578.3748626709,0.0,
5s_1i,mfcc,5,1,0.7861934,0.0,786193.3708190918,0.0,
5s_1i,high,5,1,0.4262669,0.0,426266.9086456299,0.0,
5s_1i,low,5,1,0.8496102,0.0,849610.2094650269,0.0,
5s_1i,mid,5,1,0.4345879,0.0,434587.89587020874,0.0,
20s_60i,mfcc,20,60,0.5910429,0.3032473,1.9490393543625948,0.6933333333333334,-0.15208439528942108
20s_60i,high,20,60,0.2999872,0.21646228,1.38585718060965,0.7666666666666667,-0.333631694316864
20s_60i,low,20,60,0.5588702,0.33618283,1.662394624465589,0.7133333333333334,-0.1913793832063675
20s_60i,mid,20,60,0.3333828,0.31609693,1.0546819573655755,0.7716666666666666,-0.16717611253261566
2s_40i,mfcc,2,40,1.1106074,0.20012596,5.549514027419782,0.0125,0.7382665276527405
2s_40i,high,2,40,0.1399081,0.10794477,1.2960962064535368,0.3125,0.17855234444141388
2s_40i,low,2,40,0.8330742,0.21977861,3.7904981427655007,0.05,0.6351606845855713
2s_40i,mid,2,40,0.35770035,0.32042998,1.116310124126392,0.1875,0.19154240190982819
20s_80i,mfcc,20,80,0.5874217,0.30370453,1.9341818216422466,0.695625,-0.1516346037387848
20s_80i,high,20,80,0.30226785,0.2254729,1.3405891017840776,0.7875,-0.3401798605918884
20s_80i,low,20,80,0.559235,0.33549863,1.6668721068358758,0.695625,-0.1891910582780838
20s_80i,mid,20,80,0.33372274,0.31920275,1.0454850215531803,0.783125,-0.17097118496894836
10s_10i,mfcc,10,10,0.6191784,0.30037773,2.061325785105762,0.45,0.000929650675971061
10s_10i,high,10,10,0.4357856,0.1458307,2.988277407341075,0.52,-0.10496797412633896
10s_10i,low,10,10,0.62733185,0.29755026,2.1083152219252206,0.51,-0.018019724637269974
10s_10i,mid,10,10,0.30607688,0.29825884,1.0262088359088704,0.67,-0.12221546471118927
20s_20i,mfcc,20,20,0.5807674,0.29704717,1.9551286816219404,0.6475,-0.1581309288740158
20s_20i,high,20,20,0.33277902,0.20253932,1.6430260021782719,0.7625,-0.3189655542373657
20s_20i,low,20,20,0.56468844,0.33009887,1.7106594090972045,0.705,-0.19955813884735107
20s_20i,mid,20,20,0.34517735,0.3052225,1.1309002735990887,0.7825,-0.18377064168453217
40s_1i,mfcc,40,1,0.7374408,0.0,737440.824508667,0.0,
40s_1i,high,40,1,0.36787978,0.0,367879.7781467438,0.0,
40s_1i,low,40,1,0.75119627,0.0,751196.2652206421,0.0,
40s_1i,mid,40,1,0.52990735,0.0,529907.3457717896,0.0,
2s_1i,mfcc,2,1,1.0715381,0.0,1071538.0907058716,0.0,
2s_1i,high,2,1,0.02676562,0.0,26765.620335936546,0.0,
2s_1i,low,2,1,0.9026616,0.0,902661.6215705872,0.0,
2s_1i,mid,2,1,0.3075264,0.0,307526.4096260071,0.0,
60s_80i,mfcc,60,80,0.5339799,0.31354913,1.703012818918969,0.8508333333333333,-0.2627384066581726
60s_80i,high,60,80,0.29012316,0.24441992,1.1869817348844753,0.9097916666666667,-0.4349922835826874
60s_80i,low,60,80,0.50463635,0.36387977,1.3868178503570576,0.8814583333333333,-0.34319716691970825
60s_80i,mid,60,80,0.3078719,0.31689167,0.9715336985511851,0.904375,-0.2642436921596527
60s_20i,mfcc,60,20,0.5427539,0.29853138,1.81807370208753,0.8283333333333334,-0.2811877429485321
60s_20i,high,60,20,0.32344365,0.22582786,1.432251193562426,0.8925,-0.4598316550254822
60s_20i,low,60,20,0.5120049,0.35623893,1.4372473907187173,0.8733333333333333,-0.3652474582195282
60s_20i,mid,60,20,0.31773674,0.30884266,1.028794782165797,0.8925,-0.28801119327545166
40s_60i,mfcc,40,60,0.5657664,0.304372,1.8587928978236732,0.7916666666666666,-0.23005853593349457
40s_60i,high,40,60,0.332516,0.25264698,1.3161237666025716,0.8595833333333334,-0.40489059686660767
40s_60i,low,40,60,0.52525437,0.35028595,1.4994974057595631,0.8266666666666667,-0.3086925148963928
40s_60i,mid,40,60,0.32114857,0.31377015,1.02351213388421,0.8691666666666666,-0.24395547807216644
