config,model,num_speakers,instances_per_speaker,avg_inter_cluster_dist,avg_intra_cluster_spread,separation_score,overlap_score,silhouette_score
60s_40i,mel_band_low,60,40,5.0144005,1.4483203,3.462215592273768,0.22541666666666665,0.13658207654953003
60s_40i,mel_band_high,60,40,4.140438,1.5593477,2.6552354520667762,0.26625,0.08686484396457672
60s_40i,mel_band_mid,60,40,3.1736686,1.3306738,2.3850069077809692,0.42541666666666667,0.011840845458209515
10s_60i,mfcc,10,60,0.8938392,0.19250257,4.643234231575613,0.5983333333333334,-0.09617744386196136
10s_60i,mel_band_low,10,60,5.874234,1.5822704,3.712532666353961,0.03166666666666667,0.3918910622596741
10s_60i,mel_band_high,10,60,4.6679893,1.6035341,2.9110614709307963,0.06,0.28304874897003174
10s_60i,mel_band_mid,10,60,3.4134314,1.3368214,2.553391768305853,0.18666666666666668,0.17363114655017853
20s_1i,mfcc,20,1,0.84471,0.0,844709.9924087524,0.0,
20s_1i,mel_band_low,20,1,6.095796,0.0,6095796.10824585,0.0,
20s_1i,mel_band_high,20,1,5.545563,0.0,5545563.220977783,0.0,
20s_1i,mel_band_mid,20,1,4.65775,0.0,4657750.129699707,0.0,
10s_80i,mfcc,10,80,0.89524406,0.18829736,4.754391151087772,0.61,-0.09208741039037704
10s_80i,mel_band_low,10,80,5.8392596,1.5659839,3.728809681513599,0.03375,0.39666512608528137
10s_80i,mel_band_high,10,80,4.691314,1.6156298,2.903704387808363,0.06,0.28280651569366455
10s_80i,mel_band_mid,10,80,3.4087677,1.3301938,2.5626079787689795,0.1875,0.17688728868961334
10s_20i,mfcc,10,20,0.92441463,0.1747435,5.290092775894351,0.56,-0.09853328764438629
10s_20i,mel_band_low,10,20,5.8625,1.4330575,4.090900685516377,0.02,0.41846320033073425
10s_20i,mel_band_high,10,20,4.949096,1.5516304,3.1896082238069057,0.05,0.30552029609680176
10s_20i,mel_band_mid,10,20,3.4052386,1.2814894,2.6572487020714477,0.17,0.17075519263744354
2s_5i,mfcc,2,5,1.4961956,0.122180544,12.245675637340312,0.0,0.8728078007698059
2s_5i,mel_band_low,2,5,6.64468,1.6831636,3.9477302777765493,0.0,0.6170490980148315
2s_5i,mel_band_high,2,5,5.948048,1.5075271,3.945563643980427,0.0,0.6214402318000793
2s_5i,mel_band_mid,2,5,5.0406823,1.247618,4.040241834672494,0.0,0.6220607161521912
20s_10i,mfcc,20,10,0.8290689,0.1747543,4.744170090933178,0.735,-0.23094165325164795
20s_10i,mel_band_low,20,10,5.549291,1.4523358,3.8209394694440553,0.095,0.25960612297058105
20s_10i,mel_band_high,20,10,4.92103,1.4636955,3.362056243714808,0.055,0.2691715359687805
20s_10i,mel_band_mid,20,10,3.6429126,1.3582575,2.682046561917199,0.215,0.08812754601240158
80s_40i,mfcc,80,40,0.8314319,0.18615414,4.466338755219184,0.928125,-0.3257496654987335
80s_40i,mel_band_low,80,40,4.737581,1.3807936,3.4310540279453097,0.26,0.1018533930182457
80s_40i,mel_band_high,80,40,4.5270324,1.5605234,2.900968675729617,0.249375,0.0929965004324913
80s_40i,mel_band_mid,80,40,3.2731383,1.3069731,2.5043635412615344,0.425625,0.005382575560361147
5s_40i,mfcc,5,40,1.0173271,0.17818269,5.709428638559721,0.385,0.09594198316335678
